"GDDM","GDXM","BCRQ","CJBH","GSDM","CJSL","BCYE","ZQDM","SBSJ","CJSJ","CJJG","CJJE","SQBH","BS","MJBH"
"D890755588","","20090317",1155759,"21257",200,295300,"600596","102131","102131",38,7600,"  00000177","B","23136"
"D890755588","","20090317",1155760,"21257",4600,299900,"600596","102131","102131",38,174800,"  00000177","B","23136"
"D890755588","","20090317",1166731,"21257",100,300000,"600596","102212","102212",38,3800,"  00000180","B","23136"
"D890755588","","20090317",1166732,"21257",400,300400,"600596","102212","102212",38,15200,"  00000180","B","23136"
"D890755588","","20090317",1170135,"21257",1500,301900,"600596","102212","102224",38,57000,"  00000180","B","23136"
"D890755588","","20090317",1174922,"21257",3000,304900,"600596","102238","102238",38,114000,"  00000183","B","23136"
"D890755588","","20090317",1185929,"21257",1200,306100,"600596","102319","102319",38,45600,"  00000187","B","23136"
"D890755588","","20090317",1185930,"21257",100,306200,"600596","102319","102319",38,3800,"  00000187","B","23136"
"D890755588","","20090317",1185931,"21257",200,306400,"600596","102319","102319",38,7600,"  00000187","B","23136"
"D890755588","","20090317",1189472,"21257",199,306599,"600596","102319","102329",38,7562,"  00000187","B","23136"
"D890755588","","20090317",1192348,"21257",1301,307900,"600596","102319","102339",38,49438,"  00000187","B","23136"
"D890755588","","20090317",1192349,"21257",699,308599,"600596","102334","102339",38,26562,"  00000188","B","23136"
"D890755588","","20090317",1194803,"21257",100,308699,"600596","102334","102349",38.54,3854,"  00000188","B","23136"
"D890755588","","20090317",1194844,"21257",4201,312900,"600596","102334","102349",38.54,161906.54,"  00000188","B","23136"
"D890755588","","20090317",1206777,"21257",99,312999,"600596","102433","102433",38.54,3815.46,"  00000193","B","23136"
"D890755588","","20090317",1206778,"21257",2000,314999,"600596","102433","102433",38.54,77080,"  00000193","B","23136"
"D890755588","","20090317",1206779,"21257",200,315199,"600596","102433","102433",38.54,7708,"  00000193","B","23136"
"D890755588","","20090317",1206780,"21257",100,315299,"600596","102433","102433",38.54,3854,"  00000193","B","23136"
